Year,All_persons,Less_than_high_school,High_school,Some_college,Less_than_18
2016,1617531,204665,422550,818189,158393
2015,1599907,178372,422544,864930,126000
2014,1499365,182245,332551,826382,153137
2013,1400523,167905,317342,759359,149067
2012,1350721,164256,369122,676993,133951
2011,1330725,164843,353147,687861,117558
2010,1263419,184437,328109,629346,115786
2009,1259456,193600,365512,552229,143261
2008,1148361,175506,325051,527038,114454
2007,1126056,201290,303935,509202,102444
2006,1033056,189977,295284,441837,98789
2005,1023763,176257,313642,429700,100514
2004,963882,169945,294014,410103,83679
2003,895527,174788,273337,359806,80187
2002,810724,179346,243800,302815,78990
