Year,All_persons,Excellent,Very_good,Good,Fair,Poor
2016,1617531,217291,389788,496200,318004,192553
2015,1599907,225866,346476,504467,310000,204207
2014,1499365,207702,365160,424211,301849,195345
2013,1400523,200325,345861,399083,280754,170123
2012,1350721,186426,314371,403920,234314,204754
2011,1330725,187892,309873,408089,250367,171327
2010,1263419,172763,293997,378721,244607,167700
2009,1259456,172779,318728,353914,253860,156863
2008,1148361,173150,268419,308818,224649,164542
2007,1126056,159377,261337,334567,212319,152585
2006,1033056,145973,245667,303455,188510,145101
2005,1023763,132143,228819,303040,197677,153608
2004,963882,131063,221720,271919,196233,137426
2003,895527,119167,212985,247160,171805,138456
2002,810724,105672,181993,241586,156218,117403
