"Total expenditures in millions by condition, United States, 2011-2015",,,,,
Condition,2011,2012,2013,2014,2015
 Acute Bronchitis and URI,"9,660","9,963","10,720","11,073","12,154"
 Allergic reactions,"2,109","3,193","2,864","3,728","4,241"
 Anemia and other deficiencies,"6,861"," 6,261*","5,962","4,927","4,889"
 Back problems,"38,090","41,333","41,455","47,738","56,466"
 Cancer,"88,668","87,538","74,847","87,818","80,249"
 Cataract,"7,996","5,639","7,353","9,121","9,101"
 Cerebrovascular disease,"17,529","16,940","18,884","28,365","27,568"
 Complications of pregnancy and birth,"2,500","3,932","6,717"," 5,647*","3,811"
 Complications of surgery or device," 3,725*"," 5,571*","4,530"," 3,678*", --
 Congenital anomalies,"3,557","4,663","7,400"," 8,685*"," 11,868*"
" COPD, asthma","75,183","75,907","71,504","82,392","78,557"
 Diabetes mellitus,"55,224","59,249","63,069","91,262","89,666"
 Disorders of mouth and esophagus, 556*, 385*, --, --,567
 Disorders of teeth and jaws,"2,026","1,788","2,336"," 3,525*","2,614"
 Disorders of the upper GI,"23,694","25,706","34,680","35,200","26,259"
 Epilepsy and convulsions,"7,194","6,509","8,884"," 6,688*","8,423"
" Female genital disorders, and contraception","15,279","13,694","18,037","11,438","17,340"
" Gallbladder, pancreatic, and liver disease","23,148"," 41,304*","28,168"," 30,139*","17,401"
 Glaucoma,"3,680","4,235","3,847","3,629","3,826"
 Headache,"8,387","8,717","7,123","7,776","9,652"
 Heart disease,"116,308","100,996","96,454","105,412","113,438"
" Hemorrhagic, coagulation, and disorders of White Blood cells", --," 17,592*"," 3,887*", --," 5,017*"
" Hereditary, degenerative and other nervous system disorders","18,915","14,808","16,164","15,329"," 22,192*"
 Hernias,"7,160","7,710","8,667","13,737","6,763"
 Hyperlipidemia,"38,905","35,148","34,515","36,251","35,259"
 Hypertension,"42,734","47,229","47,455","50,351","52,229"
 Infectious diseases,"26,867","24,381","22,764","40,847","56,031"
 Influenza,637,"2,354","3,704","3,435","3,316"
 Intestinal infection,"3,710","3,698"," 6,695*","3,647","6,449"
 Kidney Disease,"31,989","34,303","38,078","32,625","38,776"
 Male genital disorders,"3,709","3,071","5,557","5,188","6,664"
 Mental disorders,"77,643","83,598","86,070","110,016","98,819"
 Non-malignant breast disease,"1,681","1,449","1,168"," 2,479*","2,213"
 Non-malignant neoplasm,"6,042","6,445","5,080","5,530","6,198"
 Normal birth/live born,"39,381","39,287","44,170","35,557","39,439"
 Osteoarthritis and other non-traumatic joint disorders,"76,173","73,823","74,401","80,251","81,203"
 Other bone and musculoskeletal disease,"13,681","19,950","14,688","11,251","9,173"
 Other care and screening,"15,405","18,234","21,889","22,926","28,515"
" Other circulatory conditions arteries, veins, and lymphatics","18,999","25,369","26,292","25,165","25,139"
 Other CNS disorders,"28,627","37,183","32,148","33,293","40,312"
" Other endocrine, nutritional & immune disorder","16,309","14,124","21,572","27,743","25,674"
 Other eye disorders,"17,750","10,459","12,699","15,595","18,963"
