Year,All_persons,Less_than_high_school,High_school,Some_college,Inapplicable
2016,323142,36163,73920,137392,74095
2015,321423,33486,72092,140215,74178
2014,318440,34412,63583,145480,73801
2013,315722,35749,63284,140974,74035
2012,313490,35072,66889,136049,73913
2011,311126,35932,67118,132225,74084
2010,308574,37615,66034,128438,74834
2009,306661,40320,71743,118127,74836
2008,304376,40340,72096,115842,74293
2007,301309,41876,69367,114371,73909
2006,299267,42842,68995,111744,74106
2005,296185,43094,70733,107388,73563
2004,293527,42639,70613,105725,73124
2003,290604,44285,69718,102173,72996
2002,288182,46439,69837,97866,72747
